workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.sklearn.LibSVMWorkflow,46932,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46933,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46935,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46937,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46938,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46939,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46940,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46941,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46947,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46950,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46952,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46955,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46956,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46958,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46960,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46962,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46963,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46969,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46979,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46980,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46905,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46906,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46908,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46910,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46911,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46912,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46913,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46915,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46916,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46918,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46919,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46920,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46921,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46922,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46924,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46927,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46929,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46930,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46932,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46933,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46935,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46937,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46938,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46939,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46940,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46941,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46947,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46950,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46952,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46955,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46956,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46958,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46960,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46962,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46963,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46969,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46979,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46980,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46905,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46906,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46908,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46910,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46911,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46912,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46913,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46915,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46916,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46918,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46919,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46920,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46921,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46922,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46924,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46927,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46929,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46930,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46932,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46933,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46935,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46937,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46938,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46939,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46940,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46941,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46947,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46950,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46952,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46955,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46956,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46958,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46960,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46962,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46963,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46969,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46979,64,3,128
lcdb.workflow.xgboost.XGBoostWorkflow,46980,64,3,128
